author_id,author,institutions,concepts,coauthor_ids,coauthors
https://openalex.org/A5000000007,Amr K. Mortagy,"California State University, Long Beach|Texas Tech University",Biomechanical Analysis of Golf Swing Performance|Developing Evidence-Informed Supply Chain Management Knowledge|Effects of Sleep Deprivation and Fatigue on Performance|Enhancing Workplace Safety Culture and Practices|Ergonomics and Human Factors in Technology Use|Human Interaction with Automation Systems|Integration of Management Systems for Organizational Efficiency|Occupational Health in Emergency Responders and Military Personnel|Sports Science and Performance Analysis|Theory of Constraints in Operations Management|Unmanned Aerial Vehicles for Wind Estimation and Soaring,https://openalex.org/A5023099612|https://openalex.org/A5034411749|https://openalex.org/A5054094900|https://openalex.org/A5075055729|https://openalex.org/A5112370958,A. Eugene Coleman|Charles G. Halcomb|Jerry D. Ramsey|Philip Chong|Sal Kukalis
https://openalex.org/A5000000026,T. Giridharan,Illinois Institute of Technology,Advanced Monitoring of Machining Operations|Chemical Mechanical Polishing in Microelectronics Manufacturing|Dimensional Metrology and Error Compensation,https://openalex.org/A5067577743|https://openalex.org/A5109096860,R. C. Dix|S. Nair
https://openalex.org/A5000000032,W. J. Black,"University of California, Santa Barbara|University of Hawaiʻi at Mānoa|University of South Carolina",Application of Stable Isotopes in Trophic Ecology|Climate Change and Variability Research|Dynamics of Ocean Surface Waves and Wind Interaction|Marine Biodiversity and Ecosystem Functioning|Marine Biogeochemistry and Ecosystem Dynamics|Oceanic Modeling and Circulation Studies|Tropical Cyclone Intensity and Climate Change,https://openalex.org/A5005934292|https://openalex.org/A5008561921|https://openalex.org/A5015400701|https://openalex.org/A5018123868|https://openalex.org/A5031051940|https://openalex.org/A5034146720|https://openalex.org/A5038698324|https://openalex.org/A5041295573|https://openalex.org/A5041738299|https://openalex.org/A5042734892|https://openalex.org/A5044283091|https://openalex.org/A5048761950|https://openalex.org/A5053358711|https://openalex.org/A5060998789|https://openalex.org/A5061728587|https://openalex.org/A5062468987|https://openalex.org/A5065561435|https://openalex.org/A5067084483|https://openalex.org/A5070780183|https://openalex.org/A5084474341|https://openalex.org/A5085790759|https://openalex.org/A5103838291|https://openalex.org/A5113597734,Carrie L. Leonard|Claire Mahaffey|Claudia R. Benitez‐Nelson|Craig A. Carlson|Eun Jin Yang|Feizhou Chen|Francesco Nencioli|Jamie W. Becker|Kanchan Maiti|Karen E. Selph|Melinda P. Simmons|Michael R. Landry|Michael S. Rappé|Patricia M. McAndrew|Paul D. Quay|Qin Zhang|Robert R. Bidigare|Susan L Brown|Thomas S. Bibby|Tommy D. Dickey|Victor S. Kuwahara|Wei‐Jun Cai|Yoshimi M. Rii
https://openalex.org/A5000000046,Ian Paputsky,University of Cincinnati,"Design and Simulation of Quantum-dot Cellular Automata|Nanotechnology and Nanoscale Science Education|Nanowire Nanosensors for Biomedical and Energy Applications|Plasmonic Nanoparticles: Synthesis, Properties, and Applications",https://openalex.org/A5008089917|https://openalex.org/A5014927079|https://openalex.org/A5020354703|https://openalex.org/A5021233612|https://openalex.org/A5021526352|https://openalex.org/A5027826865|https://openalex.org/A5028029947|https://openalex.org/A5028134946|https://openalex.org/A5030320059|https://openalex.org/A5033358035|https://openalex.org/A5039560111|https://openalex.org/A5040927691|https://openalex.org/A5048619720|https://openalex.org/A5062379417|https://openalex.org/A5063078375|https://openalex.org/A5065656585|https://openalex.org/A5071073944|https://openalex.org/A5072385997|https://openalex.org/A5072995634|https://openalex.org/A5078772871|https://openalex.org/A5081270853|https://openalex.org/A5081742412|https://openalex.org/A5085563195|https://openalex.org/A5085670860|https://openalex.org/A5089723590|https://openalex.org/A5108540565|https://openalex.org/A5110270823|https://openalex.org/A5110277484|https://openalex.org/A5112022787|https://openalex.org/A5113731697,Alexzandra Spatholt|Andrew Gorton|C. Direnzi|Chandler Barbour|D. Dlesk|Emily E. Witt|Frank M. Gerner|Gautam Seth|John Bickle|John J. Abel|Julie L. Burdick|Katelyn Seger|Leigh M. Smith|L. K. Smith|Mark J. Schulz|Mitul Dadhania|M. J. Schulz|Nikeetha Dsouza|N. Negassi|Richard Wagner|Rob M. H. Schaub|Shalyajit Jadhav|S. Jadhav|Suri S. Iyer|T. D. Mantéi|Thang B. Hoang|Vesselin Shanov|Yeoheung Yun|Yun Yeo-Heung|Z. Kier
https://openalex.org/A5000000082,John T Zoldak,Case Western Reserve University,Neonatal Lung Development and Respiratory Morbidity|Neural Mechanisms of Respiratory Control and Homeostasis|Non-contact Physiological Monitoring Technology,https://openalex.org/A5008094112|https://openalex.org/A5008246249|https://openalex.org/A5036557789|https://openalex.org/A5037672688|https://openalex.org/A5040801872|https://openalex.org/A5041255467|https://openalex.org/A5068894279|https://openalex.org/A5074993519|https://openalex.org/A5109185604,Daisy B Bolduc|David H. Crowell|Juliann M. Di Fiore|Juliann M. DiFiore|Larry Tinsley|Mark Peucker|Michael J. Corwin|Michael R. Neuman|Terry M. Baird
https://openalex.org/A5000000092,Ali Shahbaz Haider,Binghamton University|Oregon State University|Stanford University|The University of Texas at Arlington,"Adaptive Filtering in Non-Gaussian Signal Processing|Blind Source Separation and Independent Component Analysis|Control and Synchronization in Microgrid Systems|Demand Response in Smart Grids|Integrated Management of Water, Energy, and Food Resources|Load Frequency Control in Power Systems|Model Predictive Control in Industrial Processes|Modular Multilevel Converters in HVDC Systems|Power System Stability and Control Analysis|Satellite-Based Precipitation Estimation and Validation|Speech Enhancement Techniques|Turbulent Flows and Vortex Dynamics|Turbulent Interactions with Dispersed Particles and Droplets|Underwater Acoustic Sensor Networks and Communication|Vortex-Induced Vibrations in Fluid Flow|Wave Energy Conversion Technologies and Resource Assessment|Wind Energy Technology and Aerodynamics|Wind Power Integration in Power Systems",https://openalex.org/A5000079560|https://openalex.org/A5000704197|https://openalex.org/A5002207748|https://openalex.org/A5002672179|https://openalex.org/A5011902088|https://openalex.org/A5013624835|https://openalex.org/A5014762439|https://openalex.org/A5015953024|https://openalex.org/A5017242863|https://openalex.org/A5017971510|https://openalex.org/A5021435494|https://openalex.org/A5025159763|https://openalex.org/A5025901548|https://openalex.org/A5026167598|https://openalex.org/A5027315413|https://openalex.org/A5029943091|https://openalex.org/A5030052689|https://openalex.org/A5033998134|https://openalex.org/A5034664385|https://openalex.org/A5035682247|https://openalex.org/A5036034957|https://openalex.org/A5038495800|https://openalex.org/A5040768607|https://openalex.org/A5041370959|https://openalex.org/A5043317470|https://openalex.org/A5046009733|https://openalex.org/A5052391354|https://openalex.org/A5053243136|https://openalex.org/A5054901474|https://openalex.org/A5056875085|https://openalex.org/A5066036582|https://openalex.org/A5067342954|https://openalex.org/A5068398814|https://openalex.org/A5070536710|https://openalex.org/A5074279557|https://openalex.org/A5077375004|https://openalex.org/A5080301362|https://openalex.org/A5081047593|https://openalex.org/A5082870405|https://openalex.org/A5083756637|https://openalex.org/A5084415214|https://openalex.org/A5085069362|https://openalex.org/A5087416478|https://openalex.org/A5095601490|https://openalex.org/A5095601491|https://openalex.org/A5095601492|https://openalex.org/A5095601493|https://openalex.org/A5095601494|https://openalex.org/A5095601495|https://openalex.org/A5095601496|https://openalex.org/A5095601497|https://openalex.org/A5095601498|https://openalex.org/A5095601499|https://openalex.org/A5095601500|https://openalex.org/A5101640556|https://openalex.org/A5103154347|https://openalex.org/A5104069527|https://openalex.org/A5109053335|https://openalex.org/A5109394984|https://openalex.org/A5109980770|https://openalex.org/A5111534872|https://openalex.org/A5112379462|https://openalex.org/A5112419270|https://openalex.org/A5112663785|https://openalex.org/A5112825932|https://openalex.org/A5112825933,Alan Fern|Alex Ockfen|Allen Curran|Andreas Johansson|Andreas Roßkopf|Arad Azizi|Bahgat Sammakia|Bahgat Schiffres|Baveer Ozceylan|Bharath Khalili|Boudewijn R. Haverkort|Charles Arvin|Chuong D. Hoang|Farid Soroush|Ghazal Mohsenian|Hiep Cong|Hussammedine Kabbani|Jimin Wen|Joshua Gess|Kamal Radmard|Kamal Sikka|Kenneth E. Goodson|Leila Ghorban Zadeh|Marco E. T. Gerards|Mario E. Magaña|Mark Hepokoski|Mark Seymour|Matthew Harrison|Maurits De Graff|Mehdi Asheghi|Michele Lionello|Minh Tran|Mirco Rampazzo|Mohammad Tradat|Nicole Okamoto|Norman Chang|Octave Levenspiel|Pardeep Shahi|Peter Debock|Prathamesh Ghankutkar|Pratik Bansode|Riccardo Lucchese|Sadegh Hoang|Saeid Bashash|Scott N. Schiffres|S. M. Sikka|Sophia Brodish|Sougata Hazra|Srikanth Ramakrisnan|Srikanth Rangarajan|Stephen H. Pan|Tanya Liu|Ted Brekken|Thomas Menrath|Timothy Shedd|Timothy Viola|Vahideh Hadad|Vahideh Radmard|Velodyne Lidar|Wen-Tze Chuang|Will Stark|Wolfgang Birk|Yaman Manaserh|Yaser Hadad|Yaser Rangarajan|Yue Cao
https://openalex.org/A5000000116,Hsiao‐Chiung Chen,Cleveland State University,Bioorganometallic Chemistry of Ferrocene Derivatives|Catalytic Carbene Chemistry in Organic Synthesis|Transition Metal Catalysis,https://openalex.org/A5006834843|https://openalex.org/A5007600102,A. Harry Andrist|Paul J. Gemperline
https://openalex.org/A5000000117,N. Grossman,Boston University|Harvard University,Asthma|Developmental Perspective on Motor Skill Competence|Developmental Pharmacology in Pediatric Drug Use|Diagnosis and Management of Chronic Cough|Diagnosis and Treatment of Heart Failure|Diagnosis and Treatment of Pulmonary Hypertension|Effects of Brain Stimulation on Motor Cortex|Innate Lymphoid Cells in Immunity|Natural Killer Cells in Immunity|Sleep's Role in Memory Consolidation and Regulation,https://openalex.org/A5001868473|https://openalex.org/A5002110123|https://openalex.org/A5003603772|https://openalex.org/A5004239560|https://openalex.org/A5004342057|https://openalex.org/A5005205857|https://openalex.org/A5006614820|https://openalex.org/A5007734319|https://openalex.org/A5009563289|https://openalex.org/A5011799775|https://openalex.org/A5012934813|https://openalex.org/A5015707215|https://openalex.org/A5017093683|https://openalex.org/A5017574803|https://openalex.org/A5019991157|https://openalex.org/A5025681609|https://openalex.org/A5029849168|https://openalex.org/A5030124621|https://openalex.org/A5032869220|https://openalex.org/A5036718037|https://openalex.org/A5036738257|https://openalex.org/A5038975290|https://openalex.org/A5042721747|https://openalex.org/A5044888615|https://openalex.org/A5046059982|https://openalex.org/A5046607428|https://openalex.org/A5047213494|https://openalex.org/A5048656238|https://openalex.org/A5050132863|https://openalex.org/A5052814573|https://openalex.org/A5054931656|https://openalex.org/A5056700648|https://openalex.org/A5057890262|https://openalex.org/A5059931581|https://openalex.org/A5060611549|https://openalex.org/A5060782005|https://openalex.org/A5062454263|https://openalex.org/A5062793362|https://openalex.org/A5065133242|https://openalex.org/A5065906558|https://openalex.org/A5066797329|https://openalex.org/A5067640304|https://openalex.org/A5069917433|https://openalex.org/A5079861058|https://openalex.org/A5085673870|https://openalex.org/A5087055065|https://openalex.org/A5101732168|https://openalex.org/A5102867832|https://openalex.org/A5107869874|https://openalex.org/A5110951337|https://openalex.org/A5111993112|https://openalex.org/A5112351545,Andrea M. Coverstone|Anne M. Fitzpatrick|Annette T. Hastie|Avraham Beigelman|Benjamin Gaston|Brenda R. Phillips|Bruce D. Levy|Christine A. Sorkness|Christopher A. Fiack|Daniel J. Jackson|David Mauger|David T. Mauger|Deborah A. Meyers|Denis Rybin|Edward T. Naureckas|Elliot Israel|Eugene R. Bleecker|Fernando D. Martínez|Harrison W. Farber|Harsha Kumar|Hengameh H. Raissy|Isabell Ricklefs|James F. Chmiel|James N. Moy|Janice Weinberg|Jerry A. Krishnan|John V. Fahy|Juan Carlos Cardet|Julian Solway|Kristie Ross|Leonard B. Bacharier|Loren C. Denlinger|Manuela Cernadas|Mario Castro|Mats W. Johansson|Melody G. Duvall|Merritt L. Fajt|Michael C. Peters|Monica Kraft|Nandini Krishnamoorthy|Nirav R. Bhakta|Nizar N. Jarjour|Robert F. Lemanske|Sally E. Wenzel|Stephen P. Peters|Steven R. White|Susan J. Kunselman|Vernon M. Chinchilli|Victor E. Ortega|Wendy C. Moore
https://openalex.org/A5000000123,Paul G. Hodges,University of Chicago,Breast Cancer Screening Technology|Dual-Energy Computed Tomography|Positron Emission Tomography Imaging in Oncology,"",""
https://openalex.org/A5000000129,Julia R. Murphy,University of Massachusetts Amherst,Biological Control of Invasive Species Management|Drivers and Impacts of Forest Pest Dynamics|Impact of Pollinator Decline on Ecosystems and Agriculture,https://openalex.org/A5011755236|https://openalex.org/A5017001818|https://openalex.org/A5060529769,Bethany A. Bradley|Lukas P. Thorburn|Nora E. Lehan
